Source,Target,Type,Id,Label,Weight
part_id,cont_id,Directed,1000724,,1
part_id,cnt_age_exact,Directed,1000725,,1
part_id,cnt_age_est_min,Directed,1000726,,1
part_id,cnt_age_est_max,Directed,1000727,,1
part_id,cnt_gender,Directed,1000728,,1
part_id,cnt_home,Directed,1000729,,1
part_id,cnt_work,Directed,1000730,,1
part_id,cnt_school,Directed,1000731,,1
part_id,cnt_transport,Directed,1000732,,1
part_id,cnt_leisure,Directed,1000733,,1
part_id,cnt_otherplace,Directed,1000734,,1
part_id,frequency_multi,Directed,1000735,,1
part_id,phys_contact,Directed,1000736,,1
part_id,duration_multi,Directed,1000737,,1
1,1,Directed,1000738,,13
1,4,Directed,1000739,,3
1,NA,Directed,1000740,,14
1,M,Directed,1000742,,3
1,TRUE,Directed,1000743,,7
1,FALSE,Directed,1000744,,35
1,2,Directed,1000751,,5
1,6,Directed,1000753,,2
1,F,Directed,1000756,,4
1,3,Directed,1000765,,4
1,36,Directed,1000767,,1
1,32,Directed,1000781,,1
1,5,Directed,1000793,,2
1,30,Directed,1000795,,1
1,65,Directed,1000809,,1
1,7,Directed,1000822,,1
1,62,Directed,1000823,,1
2,8,Directed,1000836,,1
2,1,Directed,1000837,,16
2,NA,Directed,1000838,,31
2,F,Directed,1000840,,13
2,FALSE,Directed,1000841,,69
2,TRUE,Directed,1000846,,21
2,2,Directed,1000847,,14
2,3,Directed,1000849,,12
2,9,Directed,1000850,,1
2,10,Directed,1000864,,1
2,4,Directed,1000877,,9
2,11,Directed,1000878,,1
2,5,Directed,1000891,,2
2,12,Directed,1000892,,1
2,13,Directed,1000906,,1
2,14,Directed,1000920,,1
2,15,Directed,1000934,,1
2,16,Directed,1000948,,1
2,36,Directed,1000949,,1
2,17,Directed,1000962,,1
2,37,Directed,1000963,,1
2,M,Directed,1000966,,1
2,18,Directed,1000976,,1
2,34,Directed,1000977,,1
2,19,Directed,1000990,,1
2,35,Directed,1000991,,2
2,20,Directed,1001004,,1
2,21,Directed,1001018,,1
2,32,Directed,1001019,,1
2,22,Directed,1001032,,1
2,40,Directed,1001033,,1
3,23,Directed,1001046,,1
3,9,Directed,1001047,,2
3,NA,Directed,1001048,,19
3,M,Directed,1001050,,4
3,TRUE,Directed,1001051,,14
3,FALSE,Directed,1001052,,40
3,2,Directed,1001057,,3
3,1,Directed,1001058,,11
3,3,Directed,1001059,,2
3,24,Directed,1001060,,1
3,F,Directed,1001064,,5
3,4,Directed,1001071,,8
3,25,Directed,1001074,,2
3,6,Directed,1001075,,1
3,26,Directed,1001088,,1
3,5,Directed,1001101,,2
3,27,Directed,1001102,,1
3,28,Directed,1001103,,2
3,32,Directed,1001117,,2
3,29,Directed,1001130,,1
3,30,Directed,1001131,,2
3,31,Directed,1001158,,1
3,35,Directed,1001159,,1
4,32,Directed,1001172,,1
4,3,Directed,1001173,,2
4,NA,Directed,1001174,,16
4,M,Directed,1001176,,5
4,TRUE,Directed,1001177,,9
4,FALSE,Directed,1001178,,39
4,1,Directed,1001183,,14
4,2,Directed,1001185,,6
4,33,Directed,1001186,,2
4,5,Directed,1001187,,3
4,F,Directed,1001190,,3
4,34,Directed,1001200,,1
4,9,Directed,1001201,,1
4,35,Directed,1001214,,1
4,8,Directed,1001215,,1
4,36,Directed,1001228,,1
4,29,Directed,1001229,,1
4,37,Directed,1001242,,1
4,38,Directed,1001256,,1
4,56,Directed,1001257,,1
